FID,r__2011
0,261.035522460937500
1,315.509643554687500
2,534.517639160156250
3,975.919555664062500
4,148.201843261718750
5,185.199356079101562
6,240.658050537109375
7,227.031295776367188
8,244.194366455078125
9,520.679565429687500
10,618.201843261718750
11,316.235382080078125
12,129.145812988281250
13,117.918289184570312
14,122.562103271484375
15,92.393623352050781
16,156.183837890625000
17,129.980438232421875
18,153.835830688476562
19,158.834335327148438
20,151.335678100585938
21,165.276809692382812
22,170.721252441406250
23,195.857070922851562
24,230.104873657226562
25,311.802490234375000
26,306.112274169921875
27,165.126937866210938
28,158.713531494140625
29,174.529449462890625
30,171.332077026367188
31,183.493438720703125
32,198.738067626953125
33,218.712112426757812
34,246.231460571289062
35,326.971038818359375
36,187.700271606445312
37,162.726303100585938
38,153.775939941406250
39,159.669769287109375
40,159.778839111328125
41,142.581924438476562
42,160.557113647460938
43,167.878005981445312
44,180.747848510742188
45,192.137557983398438
46,206.421646118164062
47,262.699951171875000
48,447.112762451171875
49,461.407501220703125
50,234.020431518554688
51,156.082077026367188
52,146.981369018554688
53,143.108398437500000
54,147.367996215820312
55,121.564468383789062
56,168.226348876953125
57,176.159362792968750
58,203.536849975585938
59,218.527938842773438
60,223.115600585937500
61,240.064010620117188
62,293.885345458984375
63,367.045227050781250
64,252.750549316406250
65,176.642456054687500
66,150.477096557617188
67,142.737594604492188
68,121.665458679199219
69,162.539672851562500
70,174.716201782226562
71,187.850051879882812
72,233.484848022460938
73,289.305786132812500
74,251.346893310546875
75,242.922378540039062
76,257.725982666015625
77,473.700408935546875
78,443.938079833984375
79,197.647766113281250
80,162.262420654296875
81,156.681549072265625
82,116.553642272949219
83,167.378494262695312
84,171.469024658203125
85,193.410888671875000
86,234.032669067382812
87,327.714233398437500
88,299.019348144531250
89,282.068664550781250
90,255.315521240234375
91,354.177703857421875
92,439.031982421875000
93,367.037139892578125
94,226.693740844726562
95,192.780258178710938
96,165.878097534179688
97,171.154876708984375
98,190.358535766601562
99,201.260726928710938
100,237.092376708984375
101,344.599731445312500
102,314.773620605468750
103,250.609634399414062
104,589.634765625000000
105,1019.658569335937500
106,1137.880615234375000
107,493.199951171875000
108,257.316833496093750
109,140.160812377929688
110,146.791213989257812
111,171.203826904296875
112,176.378295898437500
113,195.506271362304688
114,211.182373046875000
115,240.342651367187500
116,230.430572509765625
117,232.070129394531250
118,549.301452636718750
119,1470.975585937500000
120,1180.453613281250000
121,445.498138427734375
122,203.214218139648438
123,156.945724487304688
124,103.045692443847656
125,75.173858642578125
126,107.424530029296875
127,80.767158508300781
128,135.509033203125000
129,178.121582031250000
130,181.239868164062500
131,200.955047607421875
132,216.492996215820312
133,277.920837402343750
134,289.494934082031250
135,306.473175048828125
136,430.127044677734375
137,744.789672851562500
138,492.521331787109375
139,237.941085815429688
140,165.810134887695312
141,146.581283569335938
142,125.793380737304688
143,85.910484313964844
144,261.900970458984375
145,133.324966430664062
146,77.164955139160156
147,73.924774169921875
148,164.395065307617188
149,181.715377807617188
150,187.041000366210938
151,198.101837158203125
152,220.459197998046875
153,306.988891601562500
154,329.021392822265625
155,259.288177490234375
156,357.924591064453125
157,245.271194458007812
158,180.107299804687500
159,175.664489746093750
160,144.458312988281250
161,123.701789855957031
162,119.192840576171875
163,222.483520507812500
164,91.651504516601562
165,98.681411743164062
166,110.755073547363281
167,82.557769775390625
168,164.774765014648438
169,178.779617309570312
170,184.129928588867188
171,214.190780639648438
172,222.953903198242188
173,239.033233642578125
174,239.125579833984375
175,256.773559570312500
176,289.551818847656250
177,192.563171386718750
178,157.112838745117188
179,156.500488281250000
180,131.229339599609375
181,113.162719726562500
182,115.554473876953125
183,77.392478942871094
184,75.471237182617188
185,95.728523254394531
186,106.427101135253906
187,78.790321350097656
188,134.390121459960938
189,177.467895507812500
190,187.876876831054688
191,213.554199218750000
192,220.538055419921875
193,216.346740722656250
194,240.526077270507812
195,335.132690429687500
196,350.508544921875000
197,198.934219360351562
198,154.228073120117188
199,147.940292358398438
200,131.255218505859375
201,118.125511169433594
202,112.208854675292969
203,77.981040954589844
204,76.000793457031250
205,77.846313476562500
206,78.246818542480469
207,71.594070434570312
208,127.373542785644531
209,188.094512939453125
210,211.824371337890625
211,243.378280639648438
212,234.551437377929688
213,280.563598632812500
214,347.912414550781250
