Province,Dsitrict,ADM2_CODE,Summary06,Horse06,Cattle06,Camel06,Sheep06,Goat06,Summary02,Horse02,Cattle02,Camel02,Sheep02,Goat02,Summary99,Horse99,Cattle99,Camel99,Sheep99,Goat99,Summary96,Horse96,Cattle96,Camel96,Sheep96,Goat96,Summary92,Horse92,Cattle92,Camel92,Sheep92,Goat92
Dundgovi,Govi-Ugtaal,MN4810,111.57,6.08,1.9,0.34,53.6,49.64,91.62,7.9,1.57,0.42,43.74,37.98,118.79,10.78,7.9,0.54,57.96,41.61,95.93,7.63,5.56,0.49,47,35.26,80.39,5.7,3.47,0.37,50.03,20.83
Dundgovi,Gurvansaikhan,MN4813,146.09,5.46,2.23,1.28,74.78,62.34,119.13,7.63,2.17,1.32,58.28,49.72,156.38,13.48,10.16,1.79,73.28,57.67,134.24,11.54,8.27,1.87,62.12,50.44,114.66,10.37,6.93,3.04,58.85,35.47
Dundgovi,Khuld,MN4837,119.97,6.04,0.89,2.48,55.64,54.92,88.87,6.67,0.54,2.16,39.93,39.57,135.12,13.65,2.34,3.37,57.97,57.8,139.21,12.16,4.35,4.05,58.64,60.01,107.43,10.04,3.73,4.5,50.06,39.09
Dundgovi,Luus,MN4825,110.4,7.29,2.38,0.3,52.63,47.8,97.95,8.55,1.86,0.44,49.84,37.26,118.57,11.62,4.89,0.77,61.64,39.65,106.04,10.1,5.51,0.92,53.99,35.52,88.22,7.48,4.41,0.9,51.78,23.65
Dundgovi,Olziit,MN4828,126.89,5.69,0.94,5.76,52.3,62.21,130.41,8.87,0.91,5.98,52.55,62.1,172.63,16.57,7.12,8.3,66.76,73.88,137.77,12.8,5.54,8.15,52.53,58.75,101.21,9.43,4.31,13.99,41.57,31.91
Dundgovi,Ondurshil,MN4831,63.37,4.21,1.07,1.22,31.38,25.49,59.07,6.35,2.11,1.05,27.14,22.41,69.03,8.84,5.08,1.44,30.91,22.76,61.18,7.69,4.59,1.54,27.47,19.89,56.06,6.26,3.55,2.63,29.67,13.96
Dundgovi,Saikhan-Ovoo,MN4834,114.6,5.51,1.26,1.06,50.28,56.5,78.65,4.29,0.76,1.04,34.29,38.26,114.08,11.09,4.79,1.32,49.43,47.46,100.35,9.53,4.5,1.3,45.05,39.98,107.3,9.46,3.52,1.32,59.49,33.51
Dundgovi,Saintsagaan,MN4801,191.2,10.57,3.2,0.83,86.07,90.54,158.43,12.28,2.99,0.98,74.13,68.05,221.8,20.63,11.09,1.51,104.01,84.55,139.63,14.19,6.92,1.41,63.44,53.66,129.65,10.98,6.06,1.15,71.88,39.57
Dundgovi,Tsagaandelger,MN4840,65.5,6.19,1.31,0.52,27.45,30.03,42.97,5.71,0.62,0.53,17.77,18.34,96.27,12.19,8.31,0.75,47.01,28.01,76.24,9.26,7,0.65,37.34,21.99,79.18,8.13,6.59,0.68,48,15.79
Dornod,Bayandun,MN2104,102.64,7.77,9.65,0.25,59.28,25.69,70.43,7.03,8.28,0.27,40.96,13.9,68.04,6.66,12.39,0.32,39.36,9.32,46.84,5.72,8.7,0.39,26.12,5.92,63.69,5.09,9.38,0.54,44.69,3.99
Dornod,Bayantumen,MN2107,74.2,8.76,5.85,0.56,36.37,22.65,51.2,7.22,4.97,0.48,27.91,10.63,35.22,5.49,5.2,0.34,18.35,5.84,29.42,5.1,5.02,0.38,14.63,4.29,41.22,4.27,4.26,0.47,30.01,2.21
Dornod,Bayan-Uul,MN2110,57.43,6.81,8.31,0.39,24.77,17.14,41.17,5.56,8.45,0.41,17.23,9.52,35.23,5.32,9.75,0.34,14.19,5.64,24.69,5.27,7.56,0.34,8.72,2.8,47.29,7.79,13.35,0.57,24.15,1.42
Dornod,Bulgan,MN2113,67.57,9.09,4.78,0.46,31.29,21.95,43.9,6.83,4.76,0.45,21.54,10.32,45.54,5.99,8.21,0.47,23.78,7.1,34.06,5.06,5.68,0.55,18.48,4.29,46.51,4.84,4.7,0.84,33.57,2.56
Dornod,Choibalsan,MN2137,77.76,10.29,8.31,0.6,35.35,23.21,56.33,9.18,7.21,0.53,28.82,10.59,55.12,6.66,9.48,0.48,32.57,5.94,36.13,5.15,6.57,0.45,20.97,2.99,39.45,4.66,6.69,0.57,26.17,1.35
Dornod,Chuluunkhoroot,MN2140,33.46,3.48,3.1,0.1,15.91,10.89,21.61,2.11,3.2,0.08,11.74,4.48,14.04,1.69,3.05,0.08,7.52,1.71,9.71,1.55,2.69,0.12,4.46,0.89,30.04,3.82,3.73,0.42,21.64,0.43
Dornod,Dashbalbar,MN2119,125.1,13.48,9.78,0.6,65.96,35.28,93.19,10.64,8.85,0.65,53.12,19.93,89.08,8.7,11.67,0.6,54.69,13.42,64,7.9,8.21,0.69,38.44,8.77,95.46,7.85,8.69,1.26,71.3,6.36
Dornod,Gurvanzagal,MN2116,49.08,7.51,5.72,-,20.04,15.56,29.03,5.42,4.76,0.22,12.2,6.43,26.47,4.51,5.98,0.22,11.33,4.42,17.99,3.52,4.13,0.21,7.59,2.54,31.1,2.93,4.44,0.28,21.36,2.1
Dornod,Khalkhgol,MN2128,36.93,6.29,8.78,0.36,12.81,8.68,33.34,6.18,7.6,0.36,13.48,5.71,29.86,5.36,8.39,0.35,12.68,3.09,29.87,5.26,9.5,0.42,12.6,2.1,35.73,3.51,5.73,0.53,24.6,1.37
Dornod,Kherlen,MN2101,105.08,10.44,10.66,0.34,45.23,38.42,84.91,10.74,9.95,0.38,42.12,21.73,121.54,14.45,25.69,0.41,64.06,16.94,84.21,9.88,17.9,0.29,47.83,8.31,64.44,8.53,13.81,0.19,39.07,2.85
Dornod,Kholonbuir,MN2131,60.96,8.8,4.76,0.4,29.97,17.02,52.37,8.5,6.08,0.4,26.45,10.93,46.8,6.96,7.27,0.36,25.68,6.53,35.92,5.89,6.06,0.36,19.29,4.33,45.39,6.66,5.49,0.62,30.38,2.24
Dornod,Matad,MN2122,80.16,13.61,9.26,0.93,33.02,23.33,56.97,10.72,8.5,0.91,25.1,11.74,51.3,9.73,10.2,0.93,23.2,7.25,42.99,8.72,7.99,0.9,20.42,4.95,60.05,8.21,7.09,1.11,41,2.65
Dornod,Sergelen,MN2125,115.97,14.91,8.66,0.68,59.42,32.3,85.69,12.76,6.72,0.64,46.95,18.62,97.32,10.91,16.13,0.62,53.87,15.79,69.36,8.32,12.03,0.65,38.38,9.99,67.21,7.39,10,0.9,42.87,6.06
Dornod,Tsagaan-Ovoo,MN2134,127.01,13.71,8.81,0.38,57.87,46.24,105.27,12.67,10.38,0.45,50.91,30.86,96.18,11.6,12.79,0.48,50.8,20.52,68.99,9.7,9.08,0.49,36.09,13.63,98.69,11.79,10.7,1.34,64.61,10.25
Sukhbaatar,Asgat,MN2204,98.73,15.57,8.35,0.67,42.07,32.07,80.9,13.98,6.46,0.63,33.39,26.44,75.88,12.78,9.94,0.66,31.9,20.6,58.4,10.55,7.63,0.69,24.99,14.55,58.01,11.11,7.43,0.78,31.13,7.56
Sukhbaatar,Baruun-Urt,MN2201,144.09,14.43,10.12,0.51,66.53,52.49,128.8,15.45,10.28,0.45,61.69,40.94,123.25,14.25,20.03,0.37,60.53,28.07,65.47,7.47,11.72,0.18,33.06,13.05,42.08,3.85,9.57,0.04,23.11,5.51
Sukhbaatar,Bayandelger,MN2207,167.52,11.87,9.36,0.79,77.35,68.16,204.07,16.78,15.56,1.37,90.77,79.6,194.81,17.64,23.57,1.42,87.71,64.47,143.8,12.01,17.07,1.37,65.1,48.26,157.3,10.99,16.1,2.04,86.98,41.19
Sukhbaatar,Dariganga,MN2210,117.98,12.68,10.82,0.51,57.5,36.46,94.05,11.14,8.35,0.54,48.8,25.22,90.81,10.92,11.75,0.6,46.85,20.69,69.79,8.98,9.28,0.54,36.38,14.6,64.31,7.51,8.62,0.55,39.16,8.47
Sukhbaatar,Erdenetsagaan,MN2237,175.94,24.06,21.28,1.11,62.26,67.22,142.48,22.39,19.4,1.09,58.61,40.99,134.23,21.76,23.33,1,60.1,28.04,102.42,18.38,16.89,0.9,47.94,18.31,123.69,16.71,14.24,0.8,79.3,12.64
Sukhbaatar,Khalzan,MN2234,84.47,9.48,5.32,0.56,39.6,29.52,79.89,9.92,5.61,0.63,38.82,24.91,79.45,9.39,10.12,0.67,41.12,18.16,53.16,6.7,6.4,0.66,28.67,10.74,61.09,6.43,6.22,0.81,41.2,6.43
Sukhbaatar,Munkhkhaan,MN2213,171.98,20.89,14.76,1.16,77.91,57.28,133.38,20.62,14.64,1.17,60.37,36.59,135.11,22.21,22.28,1.24,59.76,29.63,103.04,16.07,17.45,1.15,45.52,22.86,96.96,12.91,15.23,1.07,52.24,15.51
Sukhbaatar,Naran,MN2216,62.59,4.43,5.02,0.36,31.52,21.25,75.74,7.61,8.19,0.4,36.66,22.88,62.62,6.16,9.93,0.38,30.92,15.23,46.69,4.56,7.11,0.32,24.43,10.28,58.23,4.07,7.02,0.61,38.6,7.92
Sukhbaatar,Ongon,MN2219,134.49,12.2,8.75,0.99,72.3,40.25,159.92,17.21,14.95,1.14,84.21,42.42,143.96,15.75,18.27,1.07,77.23,31.65,105.63,11.7,13.43,0.99,57.57,21.95,123.78,13.02,14.88,1.69,77.97,16.22
Sukhbaatar,Sukhbaatar,MN2222,157.76,21.01,11.07,1.57,79.89,44.23,125,19.73,10.47,1.68,66.59,26.52,104.99,15.88,15.65,1.64,55.35,16.47,74.07,12.3,11.48,1.51,38.05,10.72,79.67,9.99,8.88,1.38,53.24,6.19
Sukhbaatar,Tumentsogt,MN2228,73.29,10.04,8.46,0.45,28.57,25.77,55.15,9.73,8.96,0.33,20.6,15.53,50.88,9.36,14.28,0.38,18.08,8.78,38.49,7.49,12.6,0.37,13.05,4.99,34.5,5.48,14.04,0.3,13.35,1.32
Sukhbaatar,Tuvshinshiree,MN2225,128.71,9.6,8.07,1.22,54.76,55.05,106.79,9.63,7.21,1.34,43.8,44.8,112.33,13.7,14.75,1.37,45.52,37,76.86,9.91,11.11,1.16,30.84,23.84,87.96,7.95,10.08,1.35,48.07,20.5
Sukhbaatar,Uulbayan,MN2231,116.61,10.08,7.2,1.34,60.58,37.41,129.9,14.65,10.27,1.64,66.66,36.68,142.26,18.5,17.42,1.67,74.73,29.94,103.07,13.7,13.74,1.39,54.05,20.19,111.09,10.83,12.07,1.27,72.93,13.99
Khentii,Batnorov,MN2304,181.47,20.68,15.54,0.46,81.78,62.99,137.11,20.3,14.54,0.6,58.09,43.58,116.84,18.56,19.86,0.6,48.65,29.18,91.94,14.66,15.62,0.6,36.84,24.22,102.3,12.11,14.51,0.59,57.31,17.77
