FID,r__2004
0,228.8904877
1,250.5634613
2,559.1611328
3,914.4298096
4,156.4621887
5,191.6511536
6,244.19133
7,149.7285919
8,192.7362366
9,476.1919556
10,528.0481567
11,284.4646301
12,116.3989944
13,84.18911743
14,97.72881317
15,87.19637299
16,117.6253815
17,107.8435822
18,125.1655884
19,136.0074158
20,141.2527161
21,161.1330872
22,159.9549866
23,145.4991608
24,163.2822571
25,294.8114014
26,286.4041138
27,142.2444
28,110.8390808
29,117.1949158
30,118.5192261
31,125.6222763
32,137.8448639
33,151.1714325
34,182.1342621
35,243.793335
36,161.3676758
37,133.2839966
38,121.7589645
39,132.5599518
40,155.0021667
41,126.6405106
42,112.7834015
43,114.4157486
44,120.6512222
45,126.7559204
46,141.7581177
47,154.5803223
48,213.6516113
49,339.4562683
50,172.8026428
51,121.4445038
52,118.6232224
53,119.8263245
54,142.3123932
55,91.07479858
56,116.2342377
57,114.9600983
58,125.7413635
59,135.7446289
60,146.4654083
61,153.2774353
62,183.5004578
63,285.4028625
64,182.3993835
65,127.9761353
66,118.8553238
67,120.8968506
68,102.016304
69,117.6706314
70,118.4433899
71,117.3001404
72,133.6397705
73,147.1839752
74,152.4187469
75,157.590332
76,173.2391205
77,304.7783508
78,271.6138611
79,133.5865479
80,125.0168152
81,135.4683228
82,89.48408508
83,119.4899902
84,118.0466614
85,121.3978882
86,134.637085
87,151.2330627
88,176.8417816
89,167.6352386
90,164.2307739
91,206.9778137
92,209.2547607
93,169.7386475
94,145.0496826
95,148.5273285
96,117.6087418
97,116.2474747
98,124.5539856
99,130.34375
100,149.8152924
101,190.602951
102,169.4784393
103,156.5338898
104,230.8815613
105,397.314209
106,444.9520874
107,236.9282074
108,154.4431915
109,98.16732788
110,111.5589142
111,118.6130295
112,117.6513138
113,128.8386383
114,140.8205872
115,142.9993591
116,137.0845184
117,131.3938904
118,213.6573334
119,588.7389526
120,463.9799805
121,212.1734467
122,136.9960938
123,117.8861923
124,72.65000153
125,51.52970505
126,103.9854889
127,74.30895233
128,106.5499802
129,123.7376404
130,118.9428177
131,126.7378693
132,134.3887939
133,133.9271698
134,124.5982971
135,121.270195
136,147.0130157
137,320.1062927
138,232.7333069
139,144.4979401
140,126.5221252
141,109.4481735
142,93.62341309
143,62.9042511
144,154.9842377
145,89.01673126
146,61.25069046
147,57.40880585
148,123.4800644
149,128.1155243
150,120.1107559
151,121.210289
152,127.6906357
153,130.4888
154,115.5824356
155,118.9726791
156,135.2228699
157,157.5457306
158,137.8403778
159,134.2931061
160,108.3809204
161,87.04696655
162,86.54934692
163,203.4024963
164,66.51268005
165,72.27999878
166,75.49654388
167,62.62372589
168,126.4646149
169,127.2740097
170,120.485199
171,133.3330688
172,132.2444916
173,131.2219086
174,129.4913788
175,136.6180267
176,136.3529053
177,136.2746887
178,123.5565796
179,118.3377762
180,88.94850159
181,76.88459015
182,81.87045288
183,65.89821625
184,61.02005386
185,70.29240417
186,73.20664978
187,60.42015076
188,105.1929092
189,127.3108597
190,125.3749924
191,136.2251129
192,135.3988953
193,130.0485687
194,152.7210236
195,194.4029999
196,170.3339386
197,139.8682251
198,113.2780991
199,104.3141937
200,88.4376297
201,80.33590698
202,81.69624329
203,56.2898674
204,56.12963867
205,57.21442032
206,57.38840866
207,54.46154022
208,100.6498795
209,140.27211
210,144.9416962
211,142.2263794
212,136.7527313
213,163.8191376
214,215.1474152
215,393.0401611
216,265.8964539
217,173.1639404
218,117.0213928
219,97.2337265
220,90.43643188
221,92.17079926
222,85.39037323
223,58.3524971
224,72.52300262
225,50.16356277
226,50.11626816
227,52.23324585
228,52.55653
229,53.53516388
230,122.0025558
231,134.9840698
232,136.3133698
233,155.7767487
234,149.3440857
235,192.015152
236,287.0533142
237,547.8699341
238,317.4829407
239,194.1993103
240,109.3985596
241,81.83408356
242,78.42082977
243,83.89379883
244,68.59227753
245,47.37928772
246,54.66075516
247,56.78750992
248,78.11904144
249,62.29850006
250,50.11437988
251,47.67765808
252,50.3721962
253,47.70676041
254,51.11812592
255,91.12854004
256,94.88075256
257,68.63739014
258,61.34303284
259,71.19274139
260,70.79231262
261,72.61598206
262,114.8641357
263,133.8053894
264,106.234375
265,101.9291229
266,85.10739899
267,74.24301147
268,51.17950439
269,45.25276184
270,42.62034607
271,45.86135101
272,45.54372406
273,63.95891571
274,106.4741898
275,152.9728394
276,59.03783417
277,53.36036682
278,52.45711517
279,52.61061096
280,49.15266037
281,49.4949379
282,56.23915863
283,58.00745773
284,58.30991745
285,56.64062119
286,52.58981705
287,57.84502792
288,61.67553329
289,64.58430481
290,71.36884308
291,62.53898239
292,66.65545654
293,76.46324158
294,75.01540375
295,50.84847641
296,43.57405472
297,44.96448517
298,41.98692322
299,43.11675644
300,59.37572479
301,83.93955994
302,124.3180084
303,72.53870392
304,57.13815308
305,54.39175415
306,55.95983505
307,52.5381279
308,50.76725006
309,50.33201599
310,55.54983139
311,58.42209244
312,68.48703003
313,65.73642731
314,51.81090546
315,51.641716
316,62.33765411
317,61.67834473
318,94.83318329
319,86.97838593
320,66.9568634
321,59.30237198
322,54.16100311
323,50.83977509
324,43.51644135
325,46.33184052
326,43.25312805
327,43.21422577
328,54.57561493
329,73.82564545
330,119.2793732
331,180.0792084
332,146.2229156
333,76.59436798
334,61.21256256
335,63.69244003
336,59.93075562
337,62.62953186
338,53.36875153
339,48.14366531
340,50.60910797
341,53.93732071
342,52.66881561
343,54.30793762
344,58.70059586
345,57.18612289
346,59.84154892
347,84.45532227
348,162.8101807
349,155.8088074
350,77.37604523
351,63.3628273
352,58.44211578
353,51.36053085
354,42.64830399
355,46.27775192
356,44.2675972
357,42.89170074
358,50.378582
359,66.43785095
360,80.04801178
361,98.88057709
362,80.95935059
363,97.3535614
364,72.16464233
365,101.8982773
366,126.5416946
367,66.5041275
368,74.95831299
369,56.94126129
370,47.68007278
371,49.70669556
372,52.93186188
373,55.09394073
374,58.03240967
375,53.70571136
376,57.0789032
377,73.00293732
378,119.1192017
379,226.2505035
380,180.4432983
381,68.65273285
382,64.01337433
383,54.99983597
384,50.45775986
385,44.17141342
386,44.45757294
387,45.4328804
388,43.90731049
389,53.0385437
390,64.53672791
391,69.82262421
392,100.6810532
393,82.72190857
394,86.7261734
395,68.54928589
396,70.73648834
397,92.91940308
398,111.2292175
399,73.39198303
400,64.02977753
401,52.93976593
402,48.74758148
403,51.08243179
404,53.32841873
405,47.1024437
406,46.51464462
407,56.14619064
408,72.13544464
409,78.33097076
410,198.5016632
411,438.6155701
412,322.4194336
413,104.0568619
414,63.93800735
415,55.09813309
416,52.10430908
417,49.1244812
418,44.07645798
419,43.95518875
420,48.55897522
421,58.31012344
422,69.71586609
423,85.32120514
424,97.5728302
425,141.4300537
426,72.67424011
427,81.76959229
428,79.45853424
429,63.84525681
430,68.65982056
431,68.38632202
432,65.04785919
433,73.46490479
434,73.67782593
435,53.76934433
436,51.62792587
437,56.94253922
438,46.16898346
439,43.86981964
440,43.00947189
441,45.70741272
442,61.90103912
443,76.98406982
444,215.2110291
445,427.2808228
446,256.402832
447,97.45295715
448,63.67387009
449,57.61582565
450,53.4501915
451,44.53017426
452,42.96665955
453,43.44065094
454,49.86421967
455,65.51906586
456,94.61580658
457,159.8640442
458,99.32430267
459,191.8826294
460,90.6035614
461,77.33467102
462,71.4260025
463,63.53381729
464,64.38562012
465,63.09328842
466,59.46089172
467,64.84828186
468,71.15584564
469,78.85820007
470,66.45809937
471,52.30371094
472,60.98074341
473,48.65771103
474,45.61758804
475,42.55331421
476,44.69679642
477,53.2340889
478,66.52648163
479,106.214386
480,194.6724548
481,106.196167
482,67.02350616
483,61.89169312
484,56.93769073
485,50.98743057
486,41.52935791
487,42.86122894
488,43.69261551
489,49.09625244
490,70.10598755
491,81.12202454
492,120.6811218
493,87.26509094
494,88.49538422
495,211.4560089
496,100.5300064
497,74.29073334
498,73.81464386
499,66.02346802
500,63.89329147
501,65.49710846
502,60.33468246
503,73.23164368
504,83.84021759
505,80.32275391
506,77.33783722
507,69.73092651
508,56.2192688
509,88.77471161
510,61.83748245
511,45.40105057
512,42.72426987
513,44.32965851
514,51.82610703
515,67.47393036
516,123.3966446
517,172.0542297
518,102.9632874
519,76.81845093
520,65.84009552
521,57.62680817
522,54.11756897
523,43.79264832
524,42.75889587
525,43.379776
526,50.3079834
527,67.25320435
528,68.91613007
529,77.01560211
530,74.56945038
531,65.43961334
532,141.5543976
533,167.6594238
534,154.4293365
535,113.9588928
536,108.2912216
537,98.28489685
538,91.65439606
539,66.37602997
540,57.85957718
541,81.73886871
542,82.87419891
543,80.22305298
544,79.16209412
545,73.09718323
546,97.67680359
547,113.9206161
548,97.99816895
549,57.12536621
550,45.5734787
551,55.12299728
552,70.60569763
553,76.4431839
554,116.5946503
555,196.0597076
556,138.6843872
557,83.99427032
558,68.42602539
559,63.30209351
560,55.93132782
561,45.352005
562,42.63129807
563,45.88038635
564,64.80447388
